X,Y,Name_of_th,Latitude,Longitude,name,Sl_No,Shop_No,Shop_Name,layer,path,icon_url
79.797915,11.855882,,11.85588200000,79.79791500000,,2,7(A),KASANTHITTU,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.776848,11.841068,,11.84106800000,79.77684800000,,3,8(A),T.N.PALAYAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.792193,11.861609,,11.86160900000,79.79219300000,,4,9(A),THAVALAKUPPAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.649845,11.817904,,11.81790400000,79.64984500000,,5,1(B),KARAYAMPUTHUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.68229,11.799685,,11.79968500000,79.68229000000,,6,2(B),MANAMEDU,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.716813,11.795651,,11.79565100000,79.71681300000,,7,3(B),KURUVINATHAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.748991,11.77738,,11.77738000000,79.74899100000,,8,4(B),ARACHIKUPPAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.743099,11.81174,,11.81174000000,79.74309900000,,9,5(B),BAHOUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.701428,11.822714,,11.82271400000,79.70142800000,,10,8(B),KADUVANUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.797861,11.824515,,11.82451500000,79.79786100000,,11,9(B),PANNITHITTU,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.770203,11.794057,,11.79405700000,79.77020300000,,12,10(B),MULLODAI,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.751679,11.828129,,11.82812900000,79.75167900000,,13,11(B),ARANGANUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.652973,11.839813,,11.83981300000,79.65297300000,,14,12(B),PANAYADIKUPPAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.757396,11.821332,,11.82133200000,79.75739600000,,15,13(B),KUDIYIRUPPUPALAYAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.771748,11.786338,,11.78633800000,79.77174800000,,16,15(B),UTCHIMEDU,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.736459,11.784108,,11.78410800000,79.73645900000,,17,16(B),SORIYANKUPPAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.780827,11.822185,,11.82218500000,79.78082700000,,18,17(B),KIRUMAMBAKKAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.626243,12.028073,,12.02807300000,79.62624300000,,19,1(M),MANALIPET,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.63623,11.994713,,11.99471300000,79.63623000000,,20,2(M),THIRUKANNUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.678518,11.926977,,11.92697700000,79.67851800000,,21,3(M),ANDIYARPALAYAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.669745,11.921156,,11.92115600000,79.66974500000,,22,4(M),THIRUVANDARKOVIL,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.663666,11.959082,,11.95908200000,79.66366600000,,23,5(M),SORAPET,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.704674,11.999286,,11.99928600000,79.70467400000,,24,6(M),PUDUKUPPAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.684865,12.018988,,12.01898800000,79.68486500000,,25,7(M),KUPPAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.692662,11.954256,,11.95425600000,79.69266200000,,26,8(M),SELLIPET,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.644412,11.968622,,11.96862200000,79.64441200000,,27,9(M),VADHANUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.630291,11.954539,,11.95453900000,79.63029100000,,28,10(M),PURANASINGUPALAYAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.662918,11.920026,,11.92002600000,79.66291800000,,29,11(M),KOTHAPURINATHAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.688887,11.956967,,11.95696700000,79.68888700000,,30,12(M),VAMBUPET,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.651588,11.943082,,11.94308200000,79.65158800000,,31,13(M),SANNIASIKUPPAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.678406,11.988848,,11.98884800000,79.67840600000,,32,14(M),KUMARAPALAYAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.678598,12.006663,,12.00666300000,79.67859800000,,33,15(M),SUTHUKENY,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.703691,12.020357,,12.02035700000,79.70369100000,,34,16(M),LINGAREDDIPALAYAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.64968,12.022983,,12.02298300000,79.64968000000,,35,17(M),CHETTIPET,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.614166,11.986456,,11.98645600000,79.61416600000,,36,19(M),MANNADIPET,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.628985,11.905282,,11.90528200000,79.62898500000,,37,20(M),NALLURKUCHIPALAYAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.6338703,11.9075217,,11.90752170000,79.63387030000,,38,21(M),MADAGADIPET,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.605908,11.867505,,11.86750500000,79.60590800000,,39,1(N),MADUCARAI,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.629838,11.881227,,11.88122700000,79.62983800000,,40,3(N),KARIYAMANICAM – II,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.638779,11.862343,,11.86234300000,79.63877900000,,41,4(N),NETTAPAKKAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.715759,11.865587,,11.86558700000,79.71575900000,,42,5(N),EMBALAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.752037,11.86454,,11.86454000000,79.75203700000,,43,6(N),KARIKKALAMPAKKAM -I,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.645233,11.880798,,11.88079800000,79.64523300000,,44,7(N),ERIPAKKAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
